"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"198","Markus Wheaton","WR","PIT",9,4,51,114,8,1,12.7,0.45,0.12,0.08,0.2,15.1
"199","T.J. Jones","WR","DET",14,5,93,165,30,0,11.8,0.56,0.16,0.11,0.27,14.3
"200","Michael Floyd","WR","NE",6,4,42,59,14,1,9.8,0.71,0.12,0.1,0.23,14.2
"201","Rashard Higgins","WR","CLE",12,6,77,124,31,0,10.3,0.62,0.03,0.03,0.07,13.7
"202","Chris Moore","WR","BAL",16,7,46,163,14,0,10.2,0.28,0.04,0.03,0.07,13.5
"203","Austin Seferian-Jenkins","TE","TB",3,3,44,44,0,1,14.7,1,0.05,0.04,0.09,13.4
"204","De'Anthony Thomas","WR","KC",9,7,35,32,24,0,3.6,1.09,0.01,0.03,0.05,13.4
"205","Alex Erickson","WR","CIN",8,6,71,85,31,0,10.6,0.84,0.02,0.01,0.03,13.1
"206","Geoff Swaim","TE","DAL",8,6,69,23,50,0,2.9,3,0.01,0.04,0.06,12.9
"207","Blake Bell","TE","SF",9,4,85,110,31,0,12.2,0.77,0.05,0.03,0.09,12.5
"208","Keenan Allen","WR","SD",7,6,63,50,18,0,7.1,1.26,0.23,0.19,0.45,12.3
"209","Leonte Carroo","WR","MIA",6,3,29,101,13,1,16.8,0.29,0.09,0.04,0.12,11.9
"210","Trevor Davis","WR","GB",7,3,24,63,8,1,9,0.38,0.02,0.02,0.05,11.4
"211","Nick Williams","WR","ATL",7,5,59,37,41,0,5.3,1.59,0.09,0.11,0.22,10.9
"212","Nick Boyle","TE","BAL",6,6,44,23,21,0,3.8,1.91,0.02,0.03,0.06,10.4
"213","Matt Lengel","TE","NE",3,2,22,33,1,1,11,0.67,0.07,0.05,0.12,10.2
"214","Phillip Supernaw","TE","TEN",5,4,62,33,47,0,6.6,1.88,0.02,0.03,0.05,10.2
"215","Johnny Holton","WR","OAK",3,2,34,35,14,0,11.7,0.97,0.01,0.01,0.02,9.7
"216","Lee Smith","TE","OAK",6,6,29,-3,32,0,-0.5,-9.67,0,0.04,0.06,8.9
"217","Josh Doctson","WR","WAS",6,2,66,113,15,0,18.8,0.58,0.15,0.07,0.21,8.6
"218","Dwayne Harris","WR","NYG",1,1,13,42,0,1,42,0.31,0.01,0,0.01,8.3
"219","Rashad Greene","WR","JAC",8,5,32,59,17,0,7.4,0.54,0.02,0.03,0.05,8.2
"220","Luke Stocker","TE","TB",8,5,23,12,20,0,1.5,1.92,0.01,0.04,0.06,7.3
"221","Quan Bray","WR","IND",4,3,36,26,13,0,6.5,1.38,0.01,0.02,0.04,7.3
"222","Michael Campanaro","WR","BAL",1,0,0,-2,0,0,-2,0,0,0.01,0.01,7.2
"223","Ifeanyi Momah","TE","ARI",4,2,50,45,16,0,11.2,1.11,0.02,0.02,0.05,7
"224","Tavarres King","WR","NYG",4,2,50,120,6,0,30,0.42,0.17,0.04,0.17,7
"225","Bradley Marquez","WR","LA",7,3,37,49,22,0,7,0.76,0.02,0.02,0.05,6.9
"226","Mike Thomas","WR","LA",9,3,37,113,13,0,12.6,0.33,0.06,0.03,0.09,6.7
"227","Nick Vannett","TE","SEA",4,3,32,26,12,0,6.5,1.23,0.03,0.04,0.08,6.2
"228","Brandon Williams","TE","SEA",3,2,36,34,7,0,11.3,1.06,0.02,0.01,0.04,5.6
"229","Clay Harbor","TE","DET",3,3,19,4,15,0,1.3,4.75,0,0.02,0.03,4.9
"230","Niles Paul","TE","WAS",2,2,27,1,26,0,0.5,27,0,0.01,0.02,4.7
"231","Logan Paulsen","TE","CHI",10,3,15,63,4,0,6.3,0.24,0.02,0.03,0.05,4.5
"232","Ross Travis","TE","KC",6,3,15,14,15,0,2.3,1.07,0.01,0.03,0.05,4.5
"233","Sean McGrath","TE","SD",2,2,25,4,21,0,2,6.25,0,0.01,0.01,4.5
"234","Shane Wynn","WR","JAC",3,1,19,25,12,0,8.3,0.76,0.04,0.04,0.09,3.4
"235","Ryan Hewitt","TE","CIN",3,2,13,8,9,0,2.7,1.62,0.01,0.02,0.03,3.3
"236","Jeremy Butler","WR","SD",2,2,11,10,1,0,5,1.1,0.02,0.03,0.06,3.1
"237","Derek Carrier","TE","WAS",2,2,10,8,2,0,4,1.25,0.01,0.02,0.03,3
"238","Devin Smith","WR","NYJ",3,1,20,49,6,0,16.3,0.41,0.07,0.04,0.11,3
"239","Damiere Byrd","WR","CAR",1,1,16,13,3,0,13,1.23,0.04,0.03,0.08,2.6
